name,school_type,address,campus_kind
신평고등학교,일반고등학교,충청남도 당진시 신평면 서해로 7076,-
쌘뽈여자고등학교,일반고등학교,충청남도 논산시 시민로 411,-
아산고등학교,일반고등학교,충청남도 아산시 번영로115번길 21,-
안면고등학교,일반고등학교,충청남도 태안군 안면읍 조운막터길 73,-
연무고등학교,일반고등학교,충청남도 논산시 연무읍 동안로887번길 5,-
연무마이스터고등학교,특수목적고등학교,충청남도 논산시 연무읍 연무로 268-9,-
예산고등학교,일반고등학교,충청남도 예산군 예산읍 예산로 101,-
예산여자고등학교,일반고등학교,충청남도 예산군 예산읍 주교로 36,-
예산예화여자고등학교,특성화고등학교,충청남도 예산군 예산읍 예산로 117,-
충남반도체마이스터고등학교,특성화고등학교,충청남도 예산군 예산읍 벚꽃로351번길 21,-
온양고등학교,일반고등학교,충청남도 아산시 온천대로 1411,-
온양여자고등학교,일반고등학교,충청남도 아산시 온여고길21번길 24,-
한올고등학교,일반고등학교,충청남도 아산시 청운로 158,-
용남고등학교,일반고등학교,충청남도 계룡시 신도안면 신도안1길 32,-
서산공업고등학교,특성화고등학교,충청남도 서산시 운산면 운암로 1072-12,-
웅천고등학교,일반고등학교,충청남도 보령시 웅천읍 방축길 87,-
장항고등학교,일반고등학교,충청남도 서천군 장항읍 성화로193번길 6,-
장항공업고등학교,특성화고등학교,충청남도 서천군 장항읍 신창서로 77,-
주산산업고등학교,특성화고등학교,충청남도 보령시 주산면 만세운동길 58,-
금산하이텍고등학교,특성화고등학교,충청남도 금산군 진산면 대둔산로,-
천안상업고등학교,특성화고등학교,충청남도 천안시 서북구 상고1길 43-9,-
천안고등학교,일반고등학교,충청남도 천안시 동남구 봉명로 53,-
천안공업고등학교,특성화고등학교,충청남도 천안시 동남구 성황5길 17,-
천안제일고등학교,특성화고등학교,충청남도 천안시 동남구 버들로 71,-
북일고등학교,자율고등학교,충청남도 천안시 동남구 단대로 69,-
북일여자고등학교,일반고등학교,충청남도 천안시 동남구 단대로 71,-
천안여자고등학교,일반고등학교,충청남도 천안시 동남구 삼룡3길 30,-
천안여자상업고등학교,특성화고등학교,충청남도 천안시 동남구 천안여상로 44,-
천안중앙고등학교,일반고등학교,충청남도 천안시 동남구 충절로 91,-
정산고등학교,일반고등학교,충청남도 청양군 정산면 칠갑산로 1897,-
충남과학고등학교,특수목적고등학교,충청남도 공주시 반포면 금벽로 1351-15,-
충남예술고등학교,특수목적고등학교,충청남도 천안시 서북구 성거읍 천흥2길 42,-
한국국제비즈니스고등학교,특성화고등학교,충청남도 논산시 연산면 계백로 1958-16,-
충남체육고등학교,특수목적고등학교,충청남도 논산시 체육로 82,-
충남해양과학고등학교,특성화고등학교,충청남도 보령시 대천항로 212,-
태안고등학교,일반고등학교,충청남도 태안군 태안읍 백화로 251,-
태안여자고등학교,일반고등학교,충청남도 태안군 태안읍 원이로 7-1,-
충남디자인예술고등학교,특수목적고등학교,충청남도 서천군 한산면 한마로 114,-
한일고등학교,일반고등학교,충청남도 공주시 정안면 어물길 81,-
합덕제철고등학교,특수목적고등학교,충청남도 당진시 합덕읍 면천로 1601,-
합덕고등학교,일반고등학교,충청남도 당진시 합덕읍 면천로 1583,-
호서고등학교,일반고등학교,충청남도 당진시 밤절로 2-13,-
한국식품마이스터고등학교,특수목적고등학교,충청남도 부여군 홍산면 홍산로 112-23,-
홍성고등학교,일반고등학교,충청남도 홍성군 홍북읍 홍학로 49,-
홍성여자고등학교,일반고등학교,충청남도 홍성군 홍성읍 충서로 1575번길 10,-
홍주고등학교,일반고등학교,충청남도 홍성군 홍성읍 문화로 78,-
천안두정고등학교,일반고등학교,충청남도 천안시 서북구 두정고2길 13,-
