학교명,주소,현재lat,현재lon,kakao_lat,kakao_lon,거리차_km,검증상태
현천고등학교,강원도 횡성군 둔내면 경강로 4119,37.4859668549956,128.17056031892,37.4859668549956,128.17056031892,0.0,ok
괴산고등학교,충청북도 괴산군 괴산읍 읍내로 106,36.7965784776823,127.779633800604,36.7965784776823,127.779633800604,0.0,ok
충북반도체고등학교,충청북도 음성군 금왕읍 무극로 393-1,36.9945688918431,127.606894529842,36.9945688918431,127.606894529842,0.0,ok
단산고등학교,충청북도 단양군 어상천면 어상천로 904,37.1016152414112,128.360646664697,37.1016152414112,128.360646664697,0.0,ok
대성여자상업고등학교,충청북도 청주시 상당구 대성로 220,36.645376586986,127.492282507756,36.645376586986,127.492282507756,0.0,ok
영동고등학교,충청북도 영동군 영동읍 계산로 122,36.169493013817,127.7884058283,36.169493013817,127.7884058283,0.0,ok
영동미래고등학교,충청북도 영동군 영동읍 대학로 10,36.1780923776472,127.779595889939,36.1780923776472,127.779595889939,0.0,ok
옥천고등학교,충청북도 옥천군 옥천읍 중앙로 115,36.3083892179424,127.570042109829,36.3083892179424,127.570042109829,0.0,ok
충북산업과학고등학교,충청북도 옥천군 옥천읍 중앙로 144,36.3094763107577,127.576337083405,36.3094763107577,127.576337083405,0.0,ok
제천상업고등학교,충청북도 제천시 의병대로 243,37.1336491307847,128.228418168079,37.1336491307847,128.228418168079,0.0,ok
증평공업고등학교,충청북도 증평군 증평읍 광장로 180,36.780952175247,127.590323115812,36.780952175247,127.590323115812,0.0,ok
충북고등학교,충청북도 청주시 서원구 청남로 1969,36.6085421359283,127.481714419812,36.6085421359283,127.481714419812,0.0,ok
충북과학고등학교,충청북도 청주시 상당구 가덕면 교육원로 153-135,36.5877912123634,127.569177188357,36.5877912123634,127.569177188357,0.0,ok
충북예술고등학교,충청북도 청주시 흥덕구 서부로 1185,36.6108636042648,127.432754099608,36.6108636042648,127.432754099608,0.0,ok
주성고등학교,충청북도 청주시 상당구 호미로 310,36.634832585076,127.510651180959,36.634832585076,127.510651180959,0.0,ok
대금고등학교,충청북도 음성군 금왕읍 신내로 507,36.9818496332201,127.527925230581,36.9818496332201,127.527925230581,0.0,ok
건양대학교병설건양고등학교,충청남도 논산시 양촌면 황산벌로 486-21,36.1415576429175,127.234340316634,36.1415576429175,127.234340316634,0.0,ok
홍성공업고등학교,충청남도 홍성군 결성면 구성남로 55,36.5292356675241,126.547872062589,36.5292356675241,126.547872062589,0.0,ok
공주금성여자고등학교,충청남도 공주시 무령로 103,36.4579238822612,127.112616899073,36.4579238822612,127.112616899073,0.0,ok
공주생명과학고등학교,충청남도 공주시 금벽로 317,36.4734663879329,127.122704017145,36.4734663879329,127.122704017145,0.0,ok
금산여자고등학교,충청남도 금산군 금산읍 인삼로 21,36.104756262706,127.483456081498,36.104756262706,127.483456081498,0.0,ok
만리포고등학교,충청남도 태안군 소원면 서해로 631,36.760358435444,126.190822786927,36.760358435444,126.190822786927,0.0,ok
부석고등학교,충청남도 서산시 부석면 무학로 1180-9,36.7191692163203,126.401175680554,36.7191692163203,126.401175680554,0.0,ok
송악고등학교,충청남도 당진시 송악읍 송악로 165,36.9165824387309,126.704762234627,36.9165824387309,126.704762234627,0.0,ok
예산예화여자고등학교,충청남도 예산군 예산읍 예산로 117,36.6800546527487,126.839008226602,36.6800546527487,126.839008226602,0.0,ok
금산하이텍고등학교,충청남도 금산군 진산면 대둔산로,36.1871926791255,127.38713408817,36.1871926791255,127.38713408817,0.0,ok
정산고등학교,충청남도 청양군 정산면 칠갑산로 1897,36.4138515712078,126.950206626647,36.4138515712078,126.950206626647,0.0,ok
충남과학고등학교,충청남도 공주시 반포면 금벽로 1351-15,36.4273797056528,127.218710162436,36.4273797056528,127.218710162436,0.0,ok
한국국제비즈니스고등학교,충청남도 논산시 연산면 계백로 1958-16,36.2066365005049,127.189308583515,36.2066365005049,127.189308583515,0.0,ok
태안고등학교,충청남도 태안군 태안읍 백화로 251,36.7542989340155,126.317812777164,36.7542989340155,126.317812777164,0.0,ok
태안여자고등학교,충청남도 태안군 태안읍 원이로 7-1,36.7592674991935,126.289254236497,36.7592674991935,126.289254236497,0.0,ok
합덕제철고등학교,충청남도 당진시 합덕읍 면천로 1601,36.8133825004723,126.762410692777,36.8133825004723,126.762410692777,0.0,ok
합덕고등학교,충청남도 당진시 합덕읍 면천로 1583,36.8133974573314,126.760299447993,36.8133974573314,126.760299447993,0.0,ok
홍성고등학교,충청남도 홍성군 홍북읍 홍학로 49,36.6500246774633,126.672649053213,36.6500246774633,126.672649053213,0.0,ok
전북대학교사범대학부설고등학교,전북특별자치도 전주시 덕진구 조경단로 117,35.8459191291055,127.136074011381,35.8459191291055,127.136074011381,0.0,ok
동국대학교사범대학부속금산고등학교,전북특별자치도 김제시 금산면 모악로 47,35.7177445829994,126.999453714864,35.7177445829994,126.999453714864,0.0,ok
김제서고등학교,전북특별자치도 김제시 죽산면 해학로 17,35.771044283417,126.814859249966,35.771044283417,126.814859249966,0.0,ok
