name,address,src_lat,src_lon,kakao_lat,kakao_lon,diff_km,status,detail
광주자동화설비마이스터고등학교,광주광역시 광산구 사암로92번길,35.1529592,126.8138559,35.1524569296202,126.810991573413,0.266,match,
광주제일고등학교,광주광역시 북구 독립로237번길 33,35.1533278,126.9070089,35.1523460583173,126.907047693296,0.109,match,
금호중앙여자고등학교,광주광역시 북구 금호로 100,35.1763028,126.8856187,35.1785968979255,126.885512578982,0.255,match,
광주진흥고등학교,광주광역시 광산구 왕버들로 307,35.1997423,126.8314443,35.196436007411,126.841688616317,1.001,mismatch,
광주체육고등학교,광주광역시 북구 하서로 55,35.2350405,126.8891675,35.1825030471667,126.879416202916,5.909,mismatch,
국제고등학교,광주광역시 북구 설죽로 433,35.2140733,126.8977543,35.1991144593752,126.895612324385,1.675,mismatch,
금파공업고등학교,광주광역시 북구 금호로 80,35.1748665,126.8880754,35.1766316038616,126.887170590844,0.213,match,
금호고등학교,광주광역시 북구 금호로 100,35.1763028,126.8856187,35.1785968979255,126.885512578982,0.255,match,
대성여자고등학교,광주광역시 남구 서문대로663번길 37,35.1186254,126.896982,35.1182454473143,126.8940030376,0.274,match,
동아여자고등학교,광주광역시 남구 오방로 16-10,35.126684,126.9191099,35.1258474908771,126.922069874951,0.285,match,
동일미래과학고등학교,광주광역시 남구 천변좌로 604,35.1444016,126.9136479,35.1288698625964,126.927303715615,2.127,mismatch,
문성고등학교,광주광역시 남구 제석로 73,35.1195345,126.9067834,35.1204593851319,126.904988359537,0.193,match,
보문고등학교,광주광역시 광산구 어등대로529번길 37,35.1542063,126.7772952,35.1538630655337,126.776870489042,0.054,match,
살레시오고등학교,광주광역시 북구 모룡대길 67,35.2158455,126.8979101,35.2168875377596,126.892060067509,0.544,minor,
살레시오여자고등학교,광주광역시 동구 필문대로273번길 21,35.1450272,126.9301839,35.1469869206497,126.929642733996,0.223,match,
상무고등학교,광주광역시 서구 상무민주로32번길 28,35.1549276,126.8601416,35.1547928455718,126.859631935906,0.049,match,
서강고등학교,광주광역시 북구 서강로 1,35.1749518,126.8694969,35.1749928661466,126.868094977421,0.128,match,
서진여자고등학교,광주광역시 남구 서문대로742번길 20,35.1245976,126.8991842,35.1255597557698,126.899945603913,0.127,match,
설월여자고등학교,광주광역시 남구 천변좌로604번길 12,35.1284419,126.9273908,35.1261203872134,126.928594285005,0.28,match,
명진고등학교,광주광역시 광산구 수완로12번길 21,35.1873222,126.8302557,35.18744395418,126.829750805661,0.048,match,
송원고등학교,광주광역시 남구 송암로 73,35.1137826,126.8727011,35.1081845052901,126.873266442573,0.625,minor,
송원여자고등학교,광주광역시 남구 송암로 73,35.1137826,126.8727011,35.1081845052901,126.873266442573,0.625,minor,
숭덕고등학교,광주광역시 광산구 월계로 117-8,35.2134163,126.8439843,35.2145064376122,126.839325135641,0.44,minor,
숭의과학기술고등학교,광주광역시 남구 오방로 34-13,35.126684,126.9191099,35.1274347602546,126.923147176312,0.377,minor,
전남고등학교,광주광역시 서구 상무공원로 32,35.1474853,126.8436869,35.1474756132162,126.843732699207,0.004,match,
